category,appellation,name,variety,price,bottle_size,points,winery,description,alcohol,vintage
Red,Argentina,Zuccardi 2013 Q Cabernet Sauvignon (Valle de Uco),Cabernet Sauvignon,20,750 ml,89,Zuccardi,"Earthy notes of compost and murk blend with oak and black-fruit aromas to form the nose. While this feels a bit spiky and high in tartaric acidity, flavors of vanilla and berry fruits are good. A finish with plum-based flavors, overt oak and scratchy acidity is par for the course.",14%,2013
Dessert,Spain,Alta Alella 2015 Blanc de Neu Pansa Blanca (Alella),Pansa Blanca,25,750 ml,89,Alta Alella,"This gold-colored sweet Xarello is lightly oxidized, with aromas of butterscotch, baked squash and honey. The longer it sits, the better it gets, and that's despite blazing acidity. Flavors of pears in syrup, melon and honey finish long due to intense acidity.",13%,2015
Red,Argentina,Casarena 2012 Jamilla's Vineyard Malbec (Perdriel),Malbec,40,750 ml,89,Casarena,"Jammy oaky blueberry and cardamon aromas are proprietary for Mendoza Malbec. In the mouth, hard tannins combined with high acidity make things a bit awkward, while this tastes of reedy plum, raspberry and raw oak. Unabsorbed tartaric acidity on the finish creates a wiry feel, while peppery, spicy flavors are lasting and herbal.",14.50%,2012
Red,Argentina,Quara 2012 Via Cabra Corral Single Vineyard Malbec (Cafayate),Malbec,39,750 ml,89,Quara,"Earthy compost accents berry and root-beer aromas. This Salta Malbec gives a lush false impression before wiry, jumpy acidity takes over the palate. Across the flavor profile, berry and plum are amplified by tartaric acidity, while on the finish this doesn't settle down much. Drink through 2023.",14%,2012
White,Germany,St. Michael Weinkellerei 2013 Sptlese Riesling (Rheinhessen),Riesling,15,750 ml,89,St. Michael Weinkellerei,"Savory pollen and fennel notes lend subtle rusticity to fresh yellow peach and pear fruit in this light-footed Riesling. It's semisweet in style, juxtaposed by earthy mineral tones and brisk, lemony acidity. Drink now through 2020.",8.50%,2013
Red,Argentina,Bodega Las Caitas 2010 Juan Cruz Navarro Torre Gran Malbec (Argentina),Malbec,18,750 ml,89,Bodega Las Caitas,"Round, superripe aromas of earthy black plum come in front of a tannic palate. Earthy baked-cherry and black-plum flavors finish with licorice root and baking spice notes along with gripping tannins. Drink through 2019.",14.10%,2010
White,France,Cave de Tain 2015 Grand Classique Marsanne (Crozes-Hermitage),Marsanne,26,750 ml,89,Cave de Tain,"Like many Marsanne-based Northern Rhne wines, this is reticent on the nose, offering hints of wet stone and lemon zest. It's slightly more expressive on the palate, where it broadens and deepens to show melon and lemon flavors, plus stony, graphite-like notes on the vibrant finish.",13.50%,2015
White,France,Cave de Tain 2015 Nobles Rives Marsanne (Crozes-Hermitage),Marsanne,22,750 ml,89,Cave de Tain,"Reasonably full bodied but otherwise somewhat neutral, this does show hints of marshmallow and meringue, adding just a bit of citrus zest on the finish. Drink now.",13%,2015
White,South Africa,Bellingham 2015 The Old Orchards Chenin Blanc (Paarl),Chenin Blanc,17,750 ml,89,Bellingham,"Medium-intense scents of honeydew, baked apple, peach pit and dried wildflowers are direct and forward on the nose, while flavors of citrus and melon fill the smooth but not flabby palate. Solid acidity lifts the mouthfeel and lends freshness through the finish, which is otherwise full of rich notes of apple pie, honeycomb and orange marmalade. Drink now.",14%,2015
White,US,Bellwether 2014 Sawmill Creek Vineyard Dry Riesling (Finger Lakes),Riesling,22,750 ml,89,Bellwether,"Delicate swathes of honey brighten savory chestnut, smoke and mineral tones throughout this feather-light dry Riesling. It's an earthier slightly darker expression of Riesling with electric acidity accenting hints of spice and dusty pollen. The finish is long and intently smoky.",11%,2014
White,Bulgaria,Bratanov 2015 Single Vineyard Tamianka (Thracian Valley),Other White,20,750 ml,89,Bratanov,"This straw-colored wine is made from 100% Tamianka, which translates from ancient Bulgarian to frankincense. It is highly perfumed with aromas of jasmine blossoms, honeysuckle and citrus flowers. In the mouth there are flavors of grapefruit pith and lemon zest. The finish is clean, zesty and slightly floral.",14.50%,2015
Red,Argentina,Bressia 2014 Monteagrelo Syrah (Mendoza),Syrah,27,750 ml,89,Bressia,"Initial aromas of jammy black fruits and cardamom yield to cheesy oak as this airs out. A plump wide palate is blocky, while gamy notes of animal hide, cassis, plum and oak form the flavor profile. A lingering exotic taste of blueberry centers a mild finish.",14.50%,2014
Red,US,Cairdeas 2014 Counoise (Yakima Valley),Counoise,36,750 ml,89,Cairdeas,"Varietal Counoise remains a rarity in the state, although more and more producers are experimenting with it. This one brings aromas of crushed violets and purple fruit that lead to simultaneously full yet sleek fruit flavors that paint a bit around the edges but still deliver plenty of enjoyment.",14.30%,2014
Red,Italy,Castellare 2012 I Sodi di San Niccol Red (Toscana),Red Blend,90,750 ml,89,Castellare,"A blend of 85% Sangiovese and 15% Malvasia Nera, this offers aromas suggesting black-skinned fruit, roasted coffee bean and underbrush. The firm palate evokes mature black cherry, toast, vanilla and espresso alongside assertive, close-grained tannins.",14%,2012
Red,France,Chteau d'Or et de Gueules 2014 Qu'es a Quo Red (Costires de Nmes),Rhne-style Red Blend,30,750 ml,89,Chteau d'Or et de Gueules,"Cracked pepper, ground cinnamon and violet notes mark the nose of this full-bodied red, which is mainly old-vine Carignan. Leather and cherry flavors finish on a drying, dusty note. Drink now2022.",14%,2014
White,US,Chateau Ste. Michelle 2014 Mimi Chardonnay (Horse Heaven Hills),Chardonnay,20,750 ml,89,Chateau Ste. Michelle,"Named after famed Horse Heaven Hills grower Mimi Nye, this wine brings aromas of toast, custard and pineapple. Fruit and barrel flavors weave together on the palate, carrying through the finish.",14%,2014
Red,US,Cielo 2012 Malibu Estate Syrah (Saddle Rock-Malibu),Syrah,100,750 ml,89,Cielo,"Dried berry, leather, cola, and herb notes show on the nose of this bottling from the mountains between the Conejo Valley and Malibu Coast. The flavors are savory at firstall crushed anise and mintbut grow fruitier as it opens, suggesting dark strawberry, blueberry, vanilla and clove. Quite quaffable.",16.75%,2012
Red,France,Clos d'Audhuy 2014 Malbec (Cahors),Malbec,21,750 ml,89,Clos d'Audhuy,"This wood-aged wine is rich, full with tannins and great black fruits. The vineyard is in the heart of Cahors to the west of the city, able to produce classic Malbec, ripe and full of fruits and acidity. The wine is made to age, so drink from 2019.",13%,2014
Red,Italy,Col di Lamo 2012 Brunello di Montalcino,Sangiovese,48,750 ml,89,Col di Lamo,"Aromas of espresso, black plum, new leather and exotic spice lead the way. The firm extracted palate offers roasted coffee bean, licorice and raspberry extract framed in tightly woven, close-grained tannins that grip the finish. Give the tannins time to soften then drink to capture the remaining fruit.",14%,2012
White,Italy,Terlan 2015 Terlaner Classico White (Alto Adige),White Blend,28,750 ml,89,Terlan,"Made with 60% Pinot Bianco, 30% Chardonnay and 10% Sauvignon Blanc, this opens with aromas of acacia flower, orchard fruit and Alpine herb. The juicy palate delivers white peach, yellow apple and a hint of lemon alongside fresh acidity.",13.50%,2015
White,Italy,Tiefenbrunner 2014 Au Chardonnay (Alto Adige),Chardonnay,100,750 ml,89,Tiefenbrunner,"Made entirely from Chardonnay, this opens with aromas of toasted oak, yellow apple, and roasted hazelnut. The round medium-bodied palate delivers mature Abate Fetel pear, toasted walnut and a hint of ginger. Fresh acidity lifts the lingering finish.",13.50%,2014
Red,Italy,Tiefenbrunner 2014 Linticlarus Riserva Pinot Nero (Alto Adige),Pinot Nero,40,750 ml,89,Tiefenbrunner,"This 100% Pinot Nero opens with aromas of red currant, rose petal and a whiff of graphite. The savory palate offers strawberry and red cherry alongside smooth tannins. Enjoy soon.",13.50%,2014
White,Germany,Villa Huesgen 2015 Alte Reben Wurzelecht Dry Enkircher Steffensberg Riesling (Mosel),Riesling,50,750 ml,89,Villa Huesgen,"More mineral than forward or fruity, this light-bodied Riesling offers loads of pristine waterfall freshness accented by hints of tart tangerine and lime. Dry and vibrantly high-toned, it finishes with brisk, crushed stone intensity.",11%,2015
White,US,Wente 2015 Morning Fog Chardonnay (Livermore Valley),Chardonnay,15,750 ml,89,Wente,"Lightly minty and peachy in aroma, this wine also delivers rich butter, vanilla and pear flavors and a smooth texture on the palate. A butterscotch note lingers on the finish.",13.50%,2015
Red,Italy,Donatella Cinelli Colombini 2015 Rosso di Montalcino,Sangiovese,30,750 ml,89,Donatella Cinelli Colombini,Red berry and violet aromas take center stage on this youthful red. The round juicy palate offers ripe black cherry and a hint of licorice framed in supple tannins.,13%,2015
Red,US,Falkner 2013 Amante Super Tuscan Style Red (Temecula Valley),Red Blend,55,750 ml,89,Falkner,"There is appealing density and a unique range of aromas in this blend of 50% Sangiovese, 22% Cabernet Sauvignon, 14% Merlot and 14% Cabernet Franc, from teriyaki, smoke and charcoal to wet herbs and damp campfire. Roast beef, thyme and bay leaf flavors meld with and heavily charred black plum fruit. Dark and serious.",13.50%,2013
Red,US,Fenestra 2012 Cabernet Sauvignon (Livermore Valley),Cabernet Sauvignon,28,750 ml,89,Fenestra,"Powerful oak flavors and a firm texture make this wine imposing at first sip. It smells like cedar and tobacco, tastes like tart cherries and cranberries and feels astringent on the palate. Within that tannic framework, it has enough fruit concentration to make it well balanced and complete.",14.30%,2012
Red,Portugal,Global Wines 2013 Cabriz Reserva Red (Do),Portuguese Red,14,750 ml,89,Global Wines,"This is a ripe, attractively fruity wine with black plum flavor and a generous texture. It's firm and rich, cut with acidity and tannin and needs further time to develop. Drink from 2018.",13.50%,2013
White,Germany,Heinz Eifel 2015 Aslese Riesling (Mosel),Riesling,14,750 ml,89,Heinz Eifel,"Tropical pineapple, mango and melon tones burst from nose to palate in this luscious bang-for-your-buck Auslese. It's densely packed with fruit yet deft and darting in mouthfeel. While it may lack the complexity and nuance of greater sweet wines, it's an irresistibly fresh and fruity sip.",7.50%,2015
White,US,Heron Hill 2015 Semi-Dry Riesling (Finger Lakes),Riesling,15,750 ml,89,Heron Hill,"Blossomy and fragrant from start to finish, this semisweet Riesling offers loads of spring floral freshness. Crisp apple and pear flavors are a bit lean in concentration, but sunny lemon acidity lingers brightly on the finish.",11.50%,2015
Red,Israel,Jerusalem Wineries 2014 Gerstein Special Edition Marselan (Shomron),Marselan,18,750 ml,89,Jerusalem Wineries,"This deep ruby-colored wine has a nose of black cherry, apple peel, and anise. It is soft on the palate, with mild tannins and flavors of raspberry, strawberry, black pepper and aniseed that lead up to a mellow but fruity finish.",13%,2014
Red,France,Lionel Osmin & Cie 2015 Merlot-Cabernet Sauvignon (Buzet),Merlot-Cabernet Sauvignon,13,750 ml,89,Lionel Osmin & Cie,"From midway between Bordeaux and Toulouse, the small area of Buzet produces wines in the likeness of Bordeaux. This blend has the tannins of Cabernet Sauvignon prominent in the mix, giving the wine structure and density. Drink the wine from 2018.",14.50%,2015
Red,Italy,Mt 2010 Riserva (Brunello di Montalcino),Sangiovese,95,750 ml,89,Mt,"Red plum, leather and toasted oak aromas emerge in the glass. The hearty robust palate offers blackberry jam, dried black cherry, toasted hazelnut and clove framed in tightly packed but polished tannins. Drink 20182025.",14.50%,2010
Red,Italy,Mocali 2012 Vigna delle Raunate (Brunello di Montalcino),Sangiovese,55,750 ml,89,Mocali,"Loaded with red berry, chopped herb and dark spice aromas, this zesty, medium-bodied red offers dried cherry, raspberry, ground pepper and clove flavors. It's savory but straightforward and not very persistent.",14%,2012
Red,France,Nuiton-Beaunoy 2015 Grande Cuve (Bourgogne Hautes Ctes de Nuits),Pinot Noir,20,750 ml,89,Nuiton-Beaunoy,"This is a young, fruity wine with bright acidity and red berry fruit that comes across as lean. Its structure and tannic core suggests it needs to age. Drink from 2019.",12.50%,2015
White,US,Raymond 2014 LVE Legend Vineyard Exclusive Chardonnay (Napa Valley),Chardonnay,45,750 ml,89,Raymond,"This robust, full-bodied white is dark gold in hue, floral on the nose and voluptuously rich and layered. Honeyed creme brle flavors make it inviting and ripe, with an elegance on the finish.",14.50%,2014
White,Israel,Recanati 2014 Chardonnay (Upper Galilee),Chardonnay,17,750 ml,89,Recanati,"This wine has a clean nose of grapefruit with a hint of violet. Flavors of apricot and lemon take a backseat to a strong vein of lavender. Soft on entry, it has good mouthfeel and a nice pink grapefruit splash on the finish.",12.50%,2014
Red,Argentina,San Pedro de Yacochuya 2008 Malbec (Cafayate),Malbec,58,750 ml,89,San Pedro de Yacochuya,"Aromas of raisin and cooked black fruits are malty. This high-alcohol Malbec feels hard, tannic and collapsed. Stewy nutty flavors of blackberry and prune come with a dash of salt, while this shows raisiny flavors and dry tannins on a heavy finish.",15.90%,2008
White,US,Silver Thread 2015 Doyle Fournier Vineyard Riesling (Seneca Lake),Riesling,26,750 ml,89,Silver Thread,"Pretty orange blossom notes morph into zesty white grapefruit and lime in this exceptionally light off-dry Riesling. It's delicately concentrated on the palate but offers loads of invigorating, waterfall-like refreshment.",10.50%,2015
